Clutch_A,Clutch_B,SOS_A,SOS_B,Team_A,Team_B,WinPct_A,WinPct_B,d3P_A,d3P_B,deff_A,deff_B,home_adv_A,home_adv_B,o3P_A,o3P_B,oeff_A,oeff_B,poss_stdev_A,poss_stdev_B,total_poss_A,total_poss_B,Outcome
-0.031746031746,0.142857142857,0.431983432123,0.420941367929,1197,1250,0.466666666667,0.642857142857,0.190949132605,0.179270648197,1.06666666667,0.892857142857,0.333333333333,0.479166666667,0.24841349295,0.191616002432,0.966666666667,0.892857142857,10.7714501313,12.9481566991,55.1,51.3928571429,15
0.0185185185185,-0.0952380952381,0.564577704247,0.442015816357,1163,1436,0.818181818182,0.733333333333,0.178325201323,0.205297633738,0.515151515152,0.966666666667,0.277777777778,0.166666666667,0.159304086679,0.196560422509,0.969696969697,0.866666666667,10.7257478372,9.43026431536,57.3333333333,54.0333333333,17
0.0185185185185,0.111111111111,0.564577704247,0.541624217391,1163,1177,0.818181818182,0.7,0.178325201323,0.23475338034,0.515151515152,0.966666666667,0.277777777778,0.0666666666667,0.159304086679,0.14379131098,0.969696969697,1.0,10.7257478372,8.94613510592,57.3333333333,52.3666666667,17
0.0185185185185,-0.147058823529,0.564577704247,0.60200389245,1163,1104,0.818181818182,0.586206896552,0.178325201323,0.218261561786,0.515151515152,0.965517241379,0.277777777778,0.304761904762,0.159304086679,0.203916369658,0.969696969697,1.0,10.7257478372,10.8070857981,57.3333333333,55.6896551724,16
0.04,-0.147058823529,0.50307963763,0.60200389245,1390,1104,0.966666666667,0.586206896552,0.211454787696,0.218261561786,0.866666666667,0.965517241379,0.0625,0.304761904762,0.144175479211,0.203916369658,1.0,1.0,8.17263446038,10.8070857981,52.6333333333,55.6896551724,-3
-0.047619047619,-0.147058823529,0.56815575122,0.60200389245,1393,1104,0.75,0.586206896552,0.170332703588,0.218261561786,0.857142857143,0.965517241379,0.187165775401,0.304761904762,0.116023831524,0.203916369658,0.964285714286,1.0,11.9679355564,10.8070857981,56.75,55.6896551724,-9
-0.122222222222,-0.147058823529,0.505724748835,0.60200389245,1356,1104,0.862068965517,0.586206896552,0.156811077832,0.218261561786,0.965517241379,0.965517241379,0.128571428571,0.304761904762,0.166561906898,0.203916369658,1.03448275862,1.0,10.4104201304,10.8070857981,54.6551724138,55.6896551724,-1
0.111111111111,0.0323886639676,0.541624217391,0.519240152666,1177,1173,0.7,0.75,0.23475338034,0.229658457451,0.966666666667,0.875,0.0666666666667,0.190476190476,0.14379131098,0.190454267819,1.0,1.03125,8.94613510592,9.86358568578,52.3666666667,49.75,7
-0.288888888889,0.166666666667,0.584523846087,0.434840003886,1181,1106,0.84375,0.533333333333,0.149093487506,0.185823407245,0.90625,0.933333333333,0.16862745098,0.162679425837,0.184123273697,0.178770646975,1.0,1.03333333333,8.25103854656,8.50348136955,58.28125,45.3666666667,35
-0.288888888889,0.0416666666667,0.584523846087,0.533065167722,1181,1228,0.84375,0.8,0.149093487506,0.173285582947,0.90625,0.933333333333,0.16862745098,0.217194570136,0.184123273697,0.197276253195,1.0,0.966666666667,8.25103854656,10.9704409534,58.28125,53.8333333333,10
