Clutch_A,Clutch_B,SOS_A,SOS_B,Team_A,Team_B,WinPct_A,WinPct_B,clstr_0_A,clstr_0_A_clstr_0_B,clstr_0_A_clstr_1_B,clstr_0_A_clstr_2_B,clstr_0_B,clstr_1_A,clstr_1_A_clstr_0_B,clstr_1_A_clstr_1_B,clstr_1_A_clstr_2_B,clstr_1_B,clstr_2_A,clstr_2_A_clstr_0_B,clstr_2_A_clstr_1_B,clstr_2_A_clstr_2_B,clstr_2_B,d3P_A,d3P_B,deff_A,deff_B,home_adv_A,home_adv_B,o3P_A,o3P_B,oeff_A,oeff_B,poss_stdev_A,poss_stdev_B,total_poss_A,total_poss_B,Outcome
-0.147058823529,-0.122222222222,0.60200389245,0.505724748835,1104,1356,0.586206896552,0.862068965517,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.218261561786,0.156811077832,0.965517241379,0.965517241379,0.304761904762,0.128571428571,0.203916369658,0.166561906898,1.0,1.03448275862,10.8070857981,10.4104201304,55.6896551724,54.6551724138,1
-0.147058823529,-0.047619047619,0.60200389245,0.56815575122,1104,1393,0.586206896552,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.218261561786,0.170332703588,0.965517241379,0.857142857143,0.304761904762,0.187165775401,0.203916369658,0.116023831524,1.0,0.964285714286,10.8070857981,11.9679355564,55.6896551724,56.75,9
0.206349206349,-0.047619047619,0.598499015124,0.56815575122,1268,1393,0.633333333333,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.210364313241,0.170332703588,0.866666666667,0.857142857143,0.25,0.187165775401,0.125887516891,0.116023831524,0.866666666667,0.964285714286,11.8610732007,11.9679355564,62.9333333333,56.75,-2
-0.267045454545,-0.047619047619,0.548472038353,0.56815575122,1140,1393,0.703703703704,0.75,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.177219235702,0.170332703588,0.962962962963,0.857142857143,0.5,0.187165775401,0.148627578304,0.116023831524,1.07407407407,0.964285714286,9.72045160922,11.9679355564,52.4444444444,56.75,-5
-0.147058823529,0.0185185185185,0.60200389245,0.564577704247,1104,1163,0.586206896552,0.818181818182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.218261561786,0.178325201323,0.965517241379,0.515151515152,0.304761904762,0.277777777778,0.203916369658,0.159304086679,1.0,0.969696969697,10.8070857981,10.7257478372,55.6896551724,57.3333333333,-16
-0.288888888889,0.0185185185185,0.584523846087,0.564577704247,1181,1163,0.84375,0.818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.149093487506,0.178325201323,0.90625,0.515151515152,0.16862745098,0.277777777778,0.184123273697,0.159304086679,1.0,0.969696969697,8.25103854656,10.7257478372,58.28125,57.3333333333,-1
-0.474358974359,0.0185185185185,0.574954769839,0.564577704247,1210,1163,0.71875,0.818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.169172553546,0.178325201323,0.84375,0.515151515152,0.152941176471,0.277777777778,0.188240055515,0.159304086679,1.0,0.969696969697,8.84613092024,10.7257478372,58.0625,57.3333333333,-9
-0.0952380952381,0.0185185185185,0.442015816357,0.564577704247,1436,1163,0.733333333333,0.818181818182,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.205297633738,0.178325201323,0.966666666667,0.515151515152,0.166666666667,0.277777777778,0.196560422509,0.159304086679,0.866666666667,0.969696969697,9.43026431536,10.7257478372,54.0333333333,57.3333333333,-17
-0.288888888889,0.166666666667,0.584523846087,0.434840003886,1181,1106,0.84375,0.533333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.149093487506,0.185823407245,0.90625,0.933333333333,0.16862745098,0.162679425837,0.184123273697,0.178770646975,1.0,1.03333333333,8.25103854656,8.50348136955,58.28125,45.3666666667,35
-0.288888888889,-0.425,0.584523846087,0.568938738505,1181,1371,0.84375,0.678571428571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.149093487506,0.160337924671,0.90625,0.857142857143,0.16862745098,0.405128205128,0.184123273697,0.165905854239,1.0,0.964285714286,8.25103854656,7.80991094666,58.28125,55.4285714286,28
