Clutch_A,Clutch_B,SOS_A,SOS_B,Team_A,Team_B,WinPct_A,WinPct_B,clstr_0_A,clstr_0_B,clstr_1_A,clstr_1_B,clstr_2_A,clstr_2_B,d3P_A,d3P_B,deff_A,deff_B,home_adv_A,home_adv_B,o3P_A,o3P_B,oeff_A,oeff_B,poss_stdev_A,poss_stdev_B,total_poss_A,total_poss_B,Outcome
-0.031746031746,0.142857142857,0.431983432123,0.420941367929,1197,1250,0.466666666667,0.642857142857,0.0,0.0,1.0,1.0,0.0,0.0,0.190949132605,0.179270648197,1.06666666667,0.892857142857,0.333333333333,0.479166666667,0.24841349295,0.191616002432,0.966666666667,0.892857142857,10.7714501313,12.9481566991,55.1,51.3928571429,15
-0.031746031746,0.173913043478,0.431983432123,0.578750527512,1197,1246,0.466666666667,0.866666666667,0.0,0.0,1.0,1.0,0.0,0.0,0.190949132605,0.201939341152,1.06666666667,0.933333333333,0.333333333333,-0.0361990950226,0.24841349295,0.171299992688,0.966666666667,0.966666666667,10.7714501313,8.96025707759,55.1,53.3,-20
-0.261904761905,0.173913043478,0.554565726406,0.578750527512,1412,1246,0.689655172414,0.866666666667,0.0,0.0,0.0,1.0,1.0,0.0,0.155224689244,0.201939341152,1.0,0.933333333333,0.504761904762,-0.0361990950226,0.175560124989,0.171299992688,0.965517241379,0.966666666667,7.93756424279,8.96025707759,59.1724137931,53.3,1
-0.147058823529,-0.122222222222,0.60200389245,0.505724748835,1104,1356,0.586206896552,0.862068965517,0.0,0.0,1.0,1.0,0.0,0.0,0.218261561786,0.156811077832,0.965517241379,0.965517241379,0.304761904762,0.128571428571,0.203916369658,0.166561906898,1.0,1.03448275862,10.8070857981,10.4104201304,55.6896551724,54.6551724138,1
-0.147058823529,-0.047619047619,0.60200389245,0.56815575122,1104,1393,0.586206896552,0.75,0.0,0.0,1.0,1.0,0.0,0.0,0.218261561786,0.170332703588,0.965517241379,0.857142857143,0.304761904762,0.187165775401,0.203916369658,0.116023831524,1.0,0.964285714286,10.8070857981,11.9679355564,55.6896551724,56.75,9
0.206349206349,-0.047619047619,0.598499015124,0.56815575122,1268,1393,0.633333333333,0.75,0.0,0.0,0.0,1.0,1.0,0.0,0.210364313241,0.170332703588,0.866666666667,0.857142857143,0.25,0.187165775401,0.125887516891,0.116023831524,0.866666666667,0.964285714286,11.8610732007,11.9679355564,62.9333333333,56.75,-2
-0.147058823529,0.0185185185185,0.60200389245,0.564577704247,1104,1163,0.586206896552,0.818181818182,0.0,0.0,1.0,0.0,0.0,1.0,0.218261561786,0.178325201323,0.965517241379,0.515151515152,0.304761904762,0.277777777778,0.203916369658,0.159304086679,1.0,0.969696969697,10.8070857981,10.7257478372,55.6896551724,57.3333333333,-16
0.0185185185185,-0.0952380952381,0.564577704247,0.442015816357,1163,1436,0.818181818182,0.733333333333,0.0,0.0,0.0,1.0,1.0,0.0,0.178325201323,0.205297633738,0.515151515152,0.966666666667,0.277777777778,0.166666666667,0.159304086679,0.196560422509,0.969696969697,0.866666666667,10.7257478372,9.43026431536,57.3333333333,54.0333333333,17
0.0185185185185,0.111111111111,0.564577704247,0.541624217391,1163,1177,0.818181818182,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.178325201323,0.23475338034,0.515151515152,0.966666666667,0.277777777778,0.0666666666667,0.159304086679,0.14379131098,0.969696969697,1.0,10.7257478372,8.94613510592,57.3333333333,52.3666666667,17
0.0185185185185,-0.12,0.564577704247,0.563646247755,1163,1435,0.818181818182,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.178325201323,0.231796469708,0.515151515152,0.9,0.277777777778,0.420814479638,0.159304086679,0.218491927874,0.969696969697,0.966666666667,10.7257478372,7.5475504133,57.3333333333,57.0,20
-0.08,-0.12,0.475930044898,0.563646247755,1444,1435,0.866666666667,0.7,0.0,0.0,0.0,1.0,1.0,0.0,0.190799118349,0.231796469708,0.966666666667,0.9,0.235294117647,0.420814479638,0.185144386758,0.218491927874,1.0,0.966666666667,10.206826654,7.5475504133,58.4,57.0,-13
0.0185185185185,-0.288888888889,0.564577704247,0.584523846087,1163,1181,0.818181818182,0.84375,0.0,0.0,0.0,0.0,1.0,1.0,0.178325201323,0.149093487506,0.515151515152,0.90625,0.277777777778,0.16862745098,0.159304086679,0.184123273697,0.969696969697,1.0,10.7257478372,8.25103854656,57.3333333333,58.28125,1
0.0416666666667,-0.288888888889,0.533065167722,0.584523846087,1228,1181,0.8,0.84375,0.0,0.0,1.0,0.0,0.0,1.0,0.173285582947,0.149093487506,0.933333333333,0.90625,0.217194570136,0.16862745098,0.197276253195,0.184123273697,0.966666666667,1.0,10.9704409534,8.25103854656,53.8333333333,58.28125,-10
0.0603448275862,-0.288888888889,0.54624448626,0.584523846087,1462,1181,0.69696969697,0.84375,0.0,0.0,1.0,0.0,0.0,1.0,0.175990658094,0.149093487506,0.939393939394,0.90625,0.224264705882,0.16862745098,0.223886459528,0.184123273697,0.969696969697,1.0,9.2444700915,8.25103854656,54.9090909091,58.28125,-3
0.166666666667,-0.288888888889,0.434840003886,0.584523846087,1106,1181,0.533333333333,0.84375,1.0,0.0,0.0,0.0,0.0,1.0,0.185823407245,0.149093487506,0.933333333333,0.90625,0.162679425837,0.16862745098,0.178770646975,0.184123273697,1.03333333333,1.0,8.50348136955,8.25103854656,45.3666666667,58.28125,-35
